backend,quantity,max_abs,max_rel_pct,rmse,ref_sum,value_sum,sum_abs_diff
native_cpu,flux_up,0.005302755664239989,44.9359698411256,0.004496571363648191,4375.0387721196,4871.920770891516,496.8819987719162
native_cpu,flux_down,0.0007016525638208759,0.5819252256664372,0.00013179544406941336,75258.20636366581,75265.23867628958,7.032312623763573
native_cpu,flux_net_up_minus_down,0.005302755664188474,0.8448182342325639,0.004437299222210822,-70883.16759154623,-70393.31790539806,489.849686148169
native_cuda,flux_up,0.005167050883221877,44.93596984110505,0.004497775305187459,4375.0387721196,4872.053222949157,497.01445082955706
native_cuda,flux_down,0.0007016525638221527,0.5819252256665208,0.00013179544418640107,75258.20636366581,75265.23867631238,7.0323126465664245
native_cuda,flux_net_up_minus_down,0.005167050883188584,0.8240165377115395,0.004438519241043453,-70883.16759154623,-70393.18545336323,489.982138182997
numpy,flux_up,0.005302755664239989,44.935969841078766,0.004496684557754352,4375.0387721196,4871.93305748684,496.8942853672397
numpy,flux_down,0.0007016525637869031,0.5819252256654772,0.00013179544278669203,75258.20636366581,75265.23867601344,7.03231234762643
numpy,flux_net_up_minus_down,0.005302755664188474,0.8448182342325639,0.0044374139308763555,-70883.16759154623,-70393.30561852659,489.86197301963693
torch_cpu,flux_up,0.005302755664239989,44.9359698411256,0.004496571022906962,4375.0387721196,4871.92073468345,496.8819625638498
torch_cpu,flux_down,0.0007016525638208759,0.5819252256664372,0.00013179544406940837,75258.20636366581,75265.23867628956,7.032312623749021
torch_cpu,flux_net_up_minus_down,0.005302755664188474,0.8448182342325639,0.004437298876918106,-70883.16759154623,-70393.31794160612,489.84964994010807
torch_cuda,flux_up,0.005302755664239989,44.93596984112555,0.004496571022061324,4375.0387721196,4871.92073407793,496.88196195833007
torch_cuda,flux_down,0.0007016525638208759,0.5819252256665208,0.00013179544406941276,75258.20636366581,75265.23867628956,7.032312623749021
torch_cuda,flux_net_up_minus_down,0.005302755664188474,0.8448182342325639,0.004437298876061164,-70883.16759154623,-70393.31794221164,489.8496493345883
pyharp_disort_cpu,flux_up,0.0007117887480296813,100.00000000000082,0.00021312560892760356,4375.0387721196,4358.924039258392,16.114732861207813
pyharp_disort_cpu,flux_down,0.001246788775583152,100.0,0.00015860892017968632,75258.20636366581,75260.13680660987,1.9304429440526292
pyharp_disort_cpu,flux_net_up_minus_down,0.0014811293787715951,100.0,0.0002769589463672211,-70883.16759154623,-70901.21276735146,18.045175805236795
pyharp_toon_cpu,flux_up,0.0012011919019721713,29.537722978837284,0.00031781537044746637,4375.0387721196,4381.510476816106,6.4717046965060945
pyharp_toon_cpu,flux_down,0.0006811440449712713,0.5908321107620946,9.334763810501367e-05,75258.20636366581,75262.57901155988,4.372647894066176
pyharp_toon_cpu,flux_net_up_minus_down,0.0012011919019722095,0.5908321107620947,0.00032035565750398494,-70883.16759154623,-70881.06853474377,2.0990568024571985
pyharp_toon_cuda,flux_up,0.0012011919019723413,29.537722978837284,0.0003178153704394196,4375.0387721196,4381.510476816408,6.471704696808047
pyharp_toon_cuda,flux_down,0.0006811440449606132,0.5908321107619894,9.334763831517346e-05,75258.20636366581,75262.57901162433,4.372647958516609
pyharp_toon_cuda,flux_net_up_minus_down,0.0012011919019724315,0.5908321107619838,0.00032035565768594334,-70883.16759154623,-70881.06853480791,2.099056738312356
