engine,backend,device,dtype,repeats,best_s,mean_s,std_s,rows_per_second_best,status,skip_reason,speedup_vs_fastest
rte-rrtmgp,rte-sw,gpu,float64,5,0.001338,0.0013894,5.555393775422016e-05,747384.155,ok,,1.0
py2sess,numpy,cpu,float64,5,0.03645364800468087,0.041378998599248006,0.00659753215974381,27432.096778670653,ok,,0.03670414548986133
py2sess,torch_cpu,cpu,float64,5,7.7221966450160835,7.792949914804194,0.06229824015122293,129.49683179143094,ok,,0.00017326676093693457
py2sess,torch_cuda,cuda,float64,5,0.04959931000485085,0.04983430180000141,0.00023301239054533698,20161.57079407353,ok,,0.026976181722470384
py2sess,native_cpu,cpu,float64,5,0.6623075309908018,0.6757141482026782,0.009018461253901816,1509.8726093360522,ok,,0.0020202095512916376
py2sess,native_cuda,cuda,float64,5,0.022005471982993186,0.022173296997789294,0.0002130644422254689,45443.2425158999,ok,,0.06080305848627406
pyharp,toon_cpu,cpu,float64,5,0.04613429500022903,0.051235305197769775,0.006329175486301799,21675.84873671605,ok,,0.029002285609726074
pydisort,disort_8stream_cpu,cpu,float64,5,0.06381798299844377,0.0736160275992006,0.010200368602871764,15669.56448661791,ok,,0.020965877283094764
pyharp,toon_cuda,cuda,float64,5,0.011773537989938632,0.01183708599419333,5.093409123337358e-05,84936.23589226745,ok,,0.11364468362385385
