solver,quantity,max_abs,max_rel_pct,rmse,sum_abs_diff
pydisort_disort_8stream_cpu,flux_up,0.0,0.0,0.0,0.0
pydisort_disort_8stream_cpu,flux_down,0.0,0.0,0.0,0.0
pydisort_disort_8stream_cpu,flux_net,0.0,0.0,0.0,0.0
rte_rrtmgp_sw_gpu,flux_up,0.0008027594441605756,778869.5288570737,0.0001765727758772266,428.088591024396
rte_rrtmgp_sw_gpu,flux_down,0.0001484447013161902,1395593.6776258962,4.763477978209685e-05,682.6348161471542
rte_rrtmgp_sw_gpu,flux_net,0.0007964224218668589,1160603.0688662769,0.00018072824648584246,254.54622512299102
py2sess_native_cuda,flux_up,0.0039863561245254316,902968.6113448519,0.003286122707560831,99938.24903885566
py2sess_native_cuda,flux_down,0.0002217283816710533,1400995.8579226723,2.654977312915278e-05,279.4110013677273
py2sess_native_cuda,flux_net,0.003986356124520394,1148142.2121500892,0.003278627026781721,99658.83803748805
py2sess_numpy,flux_up,0.004003093021442673,902968.6113448516,0.003285478375895765,99918.93503177364
py2sess_numpy,flux_down,0.00022172838167544562,1400995.8579226718,2.654977310323043e-05,279.4109974198509
py2sess_numpy,flux_net,0.00400309302132415,1148142.2121500857,0.0032779812218723912,99639.52403435379
py2sess_torch_cuda,flux_up,0.003981921237467934,902968.6113448517,0.003286123062011724,99938.25854909641
py2sess_torch_cuda,flux_down,0.00022172838167034553,1400995.8579226723,2.6549773126428572e-05,279.41100097470917
py2sess_torch_cuda,flux_net,0.003981921237421943,1148142.2121500892,0.003278627382056226,99658.84754812159
pyharp_toon_cpu,flux_up,0.0002972495366995731,782105.4026562972,0.0001011728544047434,1854.6413138610078
pyharp_toon_cpu,flux_down,0.00017465564137816858,1401207.3534942714,2.6984799331819848e-05,212.03961841459386
pyharp_toon_cpu,flux_net,0.00029724953669956616,1155981.954377206,0.0001022341991416129,2066.680932275718
pyharp_toon_cuda,flux_up,0.0002972495366940116,782105.402656298,0.00010117285440871247,1854.641314174165
pyharp_toon_cuda,flux_down,0.00017465564137741224,1401207.3534942628,2.6984799318824784e-05,212.03961762739345
pyharp_toon_cuda,flux_net,0.00029724953669400464,1155981.9543772056,0.00010223419913231788,2066.680931801675
